fairness_metrics,target_gender_men,target_gender_women,target_gender_transgender,target_race_white,target_race_black,target_race_asian
auc,0.824,0.815,0.88,0.817,0.883,0.858
bnsp,0.845,0.868,0.807,0.821,0.918,0.769
bpsn,0.841,0.821,0.91,0.857,0.811,0.92
eqOdd,0.955,0.937,0.91,0.929,0.855,0.871
eqOpp0,0.99,0.906,0.949,0.979,0.944,0.921
eqOpp1,0.921,0.968,0.87,0.88,0.767,0.821
negAEG,0.002,-0.047,0.025,0.011,-0.028,0.04
p-accuracy,0.799,0.756,0.839,0.8,0.821,0.847
parity,0.763,0.89,0.74,0.752,0.836,0.737
posAEG,0.04,-0.016,0.065,0.06,-0.117,0.089
