fairness_metrics,target_gender_men,target_gender_women,target_gender_transgender,target_race_white,target_race_black,target_race_asian
parity,0.847,0.916,0.824,0.83,0.915,0.823
eqOpp1,0.967,0.967,0.833,0.836,0.685,0.819
eqOpp0,0.98,0.945,0.97,0.987,0.94,0.936
eqOdd,0.973,0.956,0.902,0.911,0.813,0.878
p-accuracy,0.776,0.729,0.807,0.768,0.79,0.81
auc,0.79,0.776,0.836,0.758,0.854,0.77
bnsp,0.829,0.831,0.768,0.789,0.888,0.679
bpsn,0.782,0.778,0.867,0.798,0.764,0.891
posAEG,0.017,0.017,0.084,0.082,-0.158,0.091
negAEG,-0.01,-0.027,0.015,0.007,-0.03,0.032
