fairness_metrics,target_gender_men,target_gender_women,target_gender_transgender,target_race_white,target_race_black,target_race_asian
parity,0.735,0.872,0.714,0.727,0.815,0.71
eqOpp1,0.882,0.956,0.898,0.883,0.741,0.826
eqOpp0,0.984,0.908,0.948,0.984,0.937,0.912
eqOdd,0.933,0.932,0.923,0.933,0.839,0.869
p-accuracy,0.788,0.757,0.838,0.787,0.829,0.855
auc,0.807,0.818,0.889,0.825,0.887,0.883
bnsp,0.825,0.871,0.816,0.827,0.928,0.788
bpsn,0.846,0.816,0.909,0.852,0.807,0.924
posAEG,0.059,-0.022,0.051,0.059,-0.129,0.087
negAEG,0.008,-0.046,0.026,0.008,-0.032,0.044
